year,module,student,first
2014,SPS9C5,2119071/1,0
2014,SPS9C5,2122087/1,0
2014,SPS9C5,2111139/1,0
2014,SPS9C5,2114716/1,0
2014,SPS9C5,2120388/1,0
2014,SPS9C5,2015290/1,0
2014,SPS9C5,2119333/1,0
2014,SPS9C5,2120934/1,0
2014,SPS9C5,2114989/1,0
2014,SPS9C5,2122566/1,0
2014,SPS9C5,2113914/1,0
2014,SPS9C5,2116393/1,0
2014,SPS9C5,2327279/1,0
2014,SPS9C5,2014929/1,0
2014,SPS9C5,2119697/1,0
2014,SPS9C5,2014680/1,0
2014,SPS9C5,2122682/1,0
2014,SPS9C5,2110608/1,0
2014,SPS9C5,2220882/1,0
2014,SPS9C5,1919042/1,0
2014,SPS9C5,2017911/1,0
2014,SPS9C5,2121240/1,0
2014,SPS9C5,2116749/1,0
2014,SPS9C5,2122451/1,0
2014,SPS9C5,2115626/1,0
2014,SPS9C5,2020465/1,0
2014,SPS9C5,1611272/1,0
2014,SPS9C5,2113699/1,0
2014,SPS9C5,2113002/1,0
2014,SPS9C5,2111463/1,0
2014,SPS9C5,2119898/1,0
2014,SPS9C5,2115990/1,0
2014,SPS9C5,2115281/1,0
2014,SPS9C5,2013950/1,0
2014,SPS9C5,2216078/1,0
2014,SPS9C5,2116554/1,0
2014,SPS9C5,2116882/1,0
2014,SPS9C5,2115093/1,0
2014,SPS9C5,2120700/1,0
2014,SPS9C5,2116208/1,0
2014,SPS9C5,2112337/1,0
2014,SPS9C5,2123017/1,0
2014,SPS9C5,2118630/1,0
2014,SPS9C5,2118963/1,0
2014,SPS9C5,2116509/1,0
2014,SPS9C5,2118655/1,0
2014,SPS9C5,2216824/1,0
2014,SPS9C5,1915981/1,0
2014,SPS9C5,2116125/1,0
2014,SPS9C5,2116686/1,0
2014,SPS9C5,2117069/1,0
2014,SPS9C5,1913594/1,0
2014,SPS9C5,2222374/1,0
2014,SPS9C5,2110551/1,0
2014,SPS9C5,2119357/1,0
2014,SPS9C5,2119347/1,0
2014,SPS9C5,2122060/1,0
2014,SPS9C5,2116463/1,0
2014,SPS9C5,1716636/1,0
2014,SPS9C5,0020446/2,0
2014,SPS9C5,2016946/1,0
2014,SPS9C5,1928007/2,0
2014,SPS9C5,2117195/1,0
2014,SPS9C5,2020097/1,0
2014,SPS9C5,2219842/1,0
2015,SPS9C5,2212508,1
2015,SPS9C5,2427586,1
2015,SPS9C5,2216580,1
2015,SPS9C5,2216502,1
2015,SPS9C5,2221820,1
2015,SPS9C5,2220153,1
2015,SPS9C5,2213302,1
2015,SPS9C5,2210345,1
2015,SPS9C5,2224676,0
2015,SPS9C5,2124032,0
2015,SPS9C5,2317546,0
2015,SPS9C5,2219786,0
2015,SPS9C5,2211199,0
2015,SPS9C5,2216595,0
2015,SPS9C5,2116635,0
2015,SPS9C5,2217921,0
2015,SPS9C5,2223057,0
2015,SPS9C5,2210099,0
2015,SPS9C5,2215505,0
2015,SPS9C5,2218595,0
2015,SPS9C5,2119332,0
2015,SPS9C5,2119732,0
2015,SPS9C5,2319090,0
2015,SPS9C5,2216672,0
2015,SPS9C5,2216109,0
2015,SPS9C5,2218336,0
2015,SPS9C5,2216508,0
2015,SPS9C5,2215896,0
2015,SPS9C5,2218945,0
2015,SPS9C5,2223240,0
2015,SPS9C5,2215503,0
2015,SPS9C5,2217700,0
2015,SPS9C5,2212954,0
2015,SPS9C5,2117066,0
2015,SPS9C5,2221589,0
2015,SPS9C5,2218434,0
2015,SPS9C5,2227512,0
2015,SPS9C5,2212084,0
2015,SPS9C5,2223248,0
2015,SPS9C5,2114923,0
2015,SPS9C5,2217060,0
2015,SPS9C5,2219232,0
2015,SPS9C5,2324427,0
2015,SPS9C5,2216952,0
2015,SPS9C5,2223560,0
2015,SPS9C5,2114460,0
2015,SPS9C5,2212325,0
2015,SPS9C5,2215668,0
2015,SPS9C5,2214897,0
2015,SPS9C5,2317550,0
2015,SPS9C5,2121822,0
2015,SPS9C5,2219093,0
2015,SPS9C5,2214597,0
2015,SPS9C5,2210459,0
2015,SPS9C5,1913124,0
2015,SPS9C5,2217991,0
2015,SPS9C5,2211198,0
2015,SPS9C5,2117354,0
2015,SPS9C5,2212756,0
2015,SPS9C5,2217704,0
2015,SPS9C5,2221088,0
2015,SPS9C5,2213699,0
2015,SPS9C5,2211215,0
2015,SPS9C5,2218811,0
2015,SPS9C5,2223822,0
2015,SPS9C5,2114033,0
2015,SPS9C5,2115973,0
2015,SPS9C5,2428484,0
2015,SPS9C5,2215206,0
2015,SPS9C5,2215269,0
2015,SPS9C5,2210083,0
2015,SPS9C5,1915453,0
2015,SPS9C5,2123100,0
2015,SPS9C5,2323747,0
2015,SPS9C5,2324104,0
2015,SPS9C5,2220182,0
2015,SPS9C5,2216634,0
2015,SPS9C5,2216882,0
2015,SPS9C5,2223987,0
2015,SPS9C5,2232436,0
2015,SPS9C5,2215217,0
2015,SPS9C5,2211817,0
2015,SPS9C5,2323637,0
2015,SPS9C5,2212963,0
2015,SPS9C5,2122856,0
2015,SPS9C5,2212788,0
2015,SPS9C5,2017280,0
2015,SPS9C5,2322119,0
2015,SPS9C5,2213986,0
2015,SPS9C5,2323892,0
2015,SPS9C5,2232460,0
2015,SPS9C5,2214971,0
2015,SPS9C5,2224525,0
2015,SPS9C5,2317038,0
2015,SPS9C5,2216275,0
2015,SPS9C5,2322425,0
2015,SPS9C5,2317768,0
2015,SPS9C5,2213955,0
2015,SPS9C5,2018750,0
2015,SPS9C5,2224640,0
2015,SPS9C5,2219570,0
2015,SPS9C5,2217914,0
2015,SPS9C5,2222520,0
2015,SPS9C5,2223891,0
