year,module,student,programme,science,grade,mark,perc,first
2013,SPS9D6,1913814/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2A,15,75,1
2013,SPS9D6,1811155/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2A,15,75,1
2014,SPS9D6,2019450/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2A,15,75,1
2014,SPS9D6,1912178/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2A,15,75,1
2014,SPS9D6,2014171/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2A,15,75,1
2014,SPS9D6,2014323/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2A,15,75,1
2011,SPS9D8,1616970/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2A,15,75,1
2012,SPS9D8,1622670/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2A,15,75,1
2013,SPS9D8,1813444/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2A,15,75,1
2013,SPS9D8,1811737/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2A,15,75,1
2013,SPS9D8,1817918/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2A,15,75,1
2014,SPS9D8,1815274/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2A,15,75,1
2014,SPS9D8,1913814/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2A,15,75,1
2014,SPS9D8,1818229/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2A,15,75,1
2012,SPS9C5,1914427/1,Bachelor of Arts in Sports Studies,0,2B,14,70,1
2014,SPS9D6,2010956/1,Bachelor of Arts in Sports Studies,0,2B,14,70,1
2014,SPS9D6,2021394/1,Bachelor of Arts in Sports Studies,0,2B,14,70,1
2014,SPS9D8,1916605/1,Bachelor of Arts with Honours in Business Studies and Sports Studies,0,2B,14,70,1
2012,SPS9D8,1711354/1,Bachelor of Arts with Honours in History and Sports Studies,0,2B,14,70,1
2012,SPS9D8,1713531/1,Bachelor of Arts with Honours in Human Resource Management and Sports Studies,0,2B,14,70,1
2011,SPS9D8,1611285/1,Bachelor of Arts with Honours in Journalism Studies and Sports Studies,0,2B,14,70,1
